category,design,metric,value
amplifier,Alfio_RAFFC_Pin_3,dcgain,111.0692
amplifier,Alfio_RAFFC_Pin_3,gain_bandwidth_product,443571.9850132181
amplifier,Alfio_RAFFC_Pin_3,phase_in_deg,51.9046
amplifier,Alfio_RAFFC_Pin_3,pm_true,51.904697704769916
amplifier,Alfio_RAFFC_Pin_3,ph_xover,51.904697704769916
amplifier,Alfio_RAFFC_Pin_3,power,0.000148755
amplifier,Alfio_RAFFC_Pin_3,cmrrdc,-48.8272
amplifier,Alfio_RAFFC_Pin_3,dcpsrp,-47.67651
amplifier,Alfio_RAFFC_Pin_3,dcpsrn,-65.79435
amplifier,Alfio_RAFFC_Pin_3,vos25,0.00049462
amplifier,Alfio_RAFFC_Pin_3,tc,0.00472659
amplifier,Alfio_RAFFC_Pin_3,sr_rise,0.058464
amplifier,Alfio_RAFFC_Pin_3,sr_fall,0.120452
amplifier,Fan_SMC_Pin_3,dcgain,115.9461
amplifier,Fan_SMC_Pin_3,gain_bandwidth_product,1359168.3640029689
amplifier,Fan_SMC_Pin_3,phase_in_deg,57.9645
amplifier,Fan_SMC_Pin_3,pm_true,57.96463451477359
amplifier,Fan_SMC_Pin_3,ph_xover,57.96463451477359
amplifier,Fan_SMC_Pin_3,power,1.76858e-05
amplifier,Fan_SMC_Pin_3,cmrrdc,-58.91111
amplifier,Fan_SMC_Pin_3,dcpsrp,-58.30601
amplifier,Fan_SMC_Pin_3,dcpsrn,-81.56252
amplifier,Fan_SMC_Pin_3,vos25,5.42772e-05
amplifier,Fan_SMC_Pin_3,tc,0.0166034
amplifier,Fan_SMC_Pin_3,sr_rise,0.0467721
amplifier,Fan_SMC_Pin_3,sr_fall,0.385974
amplifier,HoiLee_AFFC_Pin_3,dcgain,111.3671
amplifier,HoiLee_AFFC_Pin_3,gain_bandwidth_product,547643.6675173873
amplifier,HoiLee_AFFC_Pin_3,phase_in_deg,55.2323
amplifier,HoiLee_AFFC_Pin_3,pm_true,55.232382891586525
amplifier,HoiLee_AFFC_Pin_3,ph_xover,55.232382891586525
amplifier,HoiLee_AFFC_Pin_3,power,5.26653e-06
amplifier,HoiLee_AFFC_Pin_3,cmrrdc,-35.3263
amplifier,HoiLee_AFFC_Pin_3,dcpsrp,-35.05068
amplifier,HoiLee_AFFC_Pin_3,dcpsrn,-63.58896
amplifier,HoiLee_AFFC_Pin_3,vos25,0.00158062
amplifier,HoiLee_AFFC_Pin_3,tc,0.00568615
amplifier,HoiLee_AFFC_Pin_3,sr_rise,0.910993
amplifier,HoiLee_AFFC_Pin_3,sr_fall,0.024459
amplifier,Leung_DFCFC1_Pin_3,dcgain,113.2119
amplifier,Leung_DFCFC1_Pin_3,gain_bandwidth_product,503664.2170637185
amplifier,Leung_DFCFC1_Pin_3,phase_in_deg,55.3597
amplifier,Leung_DFCFC1_Pin_3,pm_true,55.35985216996707
amplifier,Leung_DFCFC1_Pin_3,ph_xover,55.35985216996707
amplifier,Leung_DFCFC1_Pin_3,power,3.30328e-05
amplifier,Leung_DFCFC1_Pin_3,cmrrdc,-47.06324
amplifier,Leung_DFCFC1_Pin_3,dcpsrp,-42.5578
amplifier,Leung_DFCFC1_Pin_3,dcpsrn,-50.4086
amplifier,Leung_DFCFC1_Pin_3,vos25,0.000994406
amplifier,Leung_DFCFC1_Pin_3,tc,0.00654061
amplifier,Leung_DFCFC1_Pin_3,sr_rise,0.0891826
amplifier,Leung_DFCFC1_Pin_3,sr_fall,0.0951996
amplifier,Leung_DFCFC2_Pin_3,dcgain,118.6171
amplifier,Leung_DFCFC2_Pin_3,gain_bandwidth_product,649180.5603297347
amplifier,Leung_DFCFC2_Pin_3,phase_in_deg,51.0035
amplifier,Leung_DFCFC2_Pin_3,pm_true,51.003669208864665
amplifier,Leung_DFCFC2_Pin_3,ph_xover,51.003669208864665
amplifier,Leung_DFCFC2_Pin_3,power,4.54293e-06
amplifier,Leung_DFCFC2_Pin_3,cmrrdc,-52.50235
amplifier,Leung_DFCFC2_Pin_3,dcpsrp,-50.98191
amplifier,Leung_DFCFC2_Pin_3,dcpsrn,-66.84676
amplifier,Leung_DFCFC2_Pin_3,vos25,0.000820793
amplifier,Leung_DFCFC2_Pin_3,tc,0.00169288
amplifier,Leung_DFCFC2_Pin_3,sr_rise,0.0181551
amplifier,Leung_DFCFC2_Pin_3,sr_fall,0.239748
amplifier,Leung_NMCF_Pin_3,dcgain,106.6244
amplifier,Leung_NMCF_Pin_3,gain_bandwidth_product,674403.4665300642
amplifier,Leung_NMCF_Pin_3,phase_in_deg,63.2434
amplifier,Leung_NMCF_Pin_3,pm_true,63.24359130242537
amplifier,Leung_NMCF_Pin_3,ph_xover,63.243591302425386
amplifier,Leung_NMCF_Pin_3,power,2.09288e-05
amplifier,Leung_NMCF_Pin_3,cmrrdc,-35.93172
amplifier,Leung_NMCF_Pin_3,dcpsrp,-35.49676
amplifier,Leung_NMCF_Pin_3,dcpsrn,-61.67061
amplifier,Leung_NMCF_Pin_3,vos25,0.000884544
amplifier,Leung_NMCF_Pin_3,tc,0.00820002
amplifier,Leung_NMCF_Pin_3,sr_rise,0.086011
amplifier,Leung_NMCF_Pin_3,sr_fall,0.135415
amplifier,Leung_NMCNR_Pin_3,dcgain,127.7877
amplifier,Leung_NMCNR_Pin_3,gain_bandwidth_product,474835.24427354767
amplifier,Leung_NMCNR_Pin_3,phase_in_deg,156.913
amplifier,Leung_NMCNR_Pin_3,pm_true,156.91357573429116
amplifier,Leung_NMCNR_Pin_3,ph_xover,156.91357573429116
amplifier,Leung_NMCNR_Pin_3,power,1.10354e-05
amplifier,Leung_NMCNR_Pin_3,cmrrdc,-84.0546
amplifier,Leung_NMCNR_Pin_3,dcpsrp,-81.13563
amplifier,Leung_NMCNR_Pin_3,dcpsrn,-91.88894
amplifier,Leung_NMCNR_Pin_3,vos25,7.85223e-05
amplifier,Leung_NMCNR_Pin_3,tc,7.221311240537419e-07
amplifier,Leung_NMCNR_Pin_3,sr_rise,0.0169104
amplifier,Leung_NMCNR_Pin_3,sr_fall,0.0176599
amplifier,Peng_ACBC_Pin_3,dcgain,109.6253
amplifier,Peng_ACBC_Pin_3,gain_bandwidth_product,590710.0326217758
amplifier,Peng_ACBC_Pin_3,phase_in_deg,56.9111
amplifier,Peng_ACBC_Pin_3,pm_true,56.91126026020871
amplifier,Peng_ACBC_Pin_3,ph_xover,56.91126026020871
amplifier,Peng_ACBC_Pin_3,power,2.31018e-05
amplifier,Peng_ACBC_Pin_3,cmrrdc,-36.31432
amplifier,Peng_ACBC_Pin_3,dcpsrp,-35.29311
amplifier,Peng_ACBC_Pin_3,dcpsrn,-54.3767
amplifier,Peng_ACBC_Pin_3,vos25,0.00125133
amplifier,Peng_ACBC_Pin_3,tc,0.0120606
amplifier,Peng_ACBC_Pin_3,sr_rise,0.111237
amplifier,Peng_ACBC_Pin_3,sr_fall,0.128007
amplifier,Peng_IAC_Pin_3,dcgain,117.0989
amplifier,Peng_IAC_Pin_3,gain_bandwidth_product,500254.7794131928
amplifier,Peng_IAC_Pin_3,phase_in_deg,55.0905
amplifier,Peng_IAC_Pin_3,pm_true,55.090658366427675
amplifier,Peng_IAC_Pin_3,ph_xover,55.090658366427675
amplifier,Peng_IAC_Pin_3,power,3.48543e-05
amplifier,Peng_IAC_Pin_3,cmrrdc,-52.84394
amplifier,Peng_IAC_Pin_3,dcpsrp,-53.00545
amplifier,Peng_IAC_Pin_3,dcpsrn,-87.83313
amplifier,Peng_IAC_Pin_3,vos25,5.73911e-05
amplifier,Peng_IAC_Pin_3,tc,0.00329383
amplifier,Peng_IAC_Pin_3,sr_rise,0.0596235
amplifier,Peng_IAC_Pin_3,sr_fall,0.163658
amplifier,Peng_TCFC_Pin_3,dcgain,127.9335
amplifier,Peng_TCFC_Pin_3,gain_bandwidth_product,697024.2935834746
amplifier,Peng_TCFC_Pin_3,phase_in_deg,86.0544
amplifier,Peng_TCFC_Pin_3,pm_true,86.05464163131154
amplifier,Peng_TCFC_Pin_3,ph_xover,86.05464163131154
amplifier,Peng_TCFC_Pin_3,power,2.74081e-05
amplifier,Peng_TCFC_Pin_3,cmrrdc,-46.02803
amplifier,Peng_TCFC_Pin_3,dcpsrp,-45.33137
amplifier,Peng_TCFC_Pin_3,dcpsrn,-67.62569
