category,design,metric,value
amplifier,Fan_SMC_Pin_3,dcgain,115.9461
amplifier,Fan_SMC_Pin_3,gain_bandwidth_product,1359168.3640029689
amplifier,Fan_SMC_Pin_3,phase_in_deg,57.9645
amplifier,Fan_SMC_Pin_3,pm_true,57.96463451477359
amplifier,Fan_SMC_Pin_3,ph_xover,57.96463451477359
amplifier,Fan_SMC_Pin_3,power,1.76858e-05
amplifier,Fan_SMC_Pin_3,cmrrdc,-58.91111
amplifier,Fan_SMC_Pin_3,dcpsrp,-58.30601
amplifier,Fan_SMC_Pin_3,dcpsrn,-81.56252
amplifier,Fan_SMC_Pin_3,vos25,5.42772e-05
amplifier,Fan_SMC_Pin_3,tc,0.0166034
amplifier,Fan_SMC_Pin_3,sr_rise,0.0467721
amplifier,Fan_SMC_Pin_3,sr_fall,0.385974
amplifier,Leung_NMCNR_Pin_3,dcgain,127.7877
amplifier,Leung_NMCNR_Pin_3,gain_bandwidth_product,474835.24427354767
amplifier,Leung_NMCNR_Pin_3,phase_in_deg,156.913
amplifier,Leung_NMCNR_Pin_3,pm_true,156.91357573429116
amplifier,Leung_NMCNR_Pin_3,ph_xover,156.91357573429116
amplifier,Leung_NMCNR_Pin_3,power,1.10354e-05
amplifier,Leung_NMCNR_Pin_3,cmrrdc,-84.0546
amplifier,Leung_NMCNR_Pin_3,dcpsrp,-81.13563
amplifier,Leung_NMCNR_Pin_3,dcpsrn,-91.88894
amplifier,Leung_NMCNR_Pin_3,vos25,7.85223e-05
amplifier,Leung_NMCNR_Pin_3,tc,7.221311240537419e-07
amplifier,Leung_NMCNR_Pin_3,sr_rise,0.0169104
amplifier,Leung_NMCNR_Pin_3,sr_fall,0.0176599
amplifier,Peng_IAC_Pin_3,dcgain,117.0989
amplifier,Peng_IAC_Pin_3,gain_bandwidth_product,500254.7794131928
amplifier,Peng_IAC_Pin_3,phase_in_deg,55.0905
amplifier,Peng_IAC_Pin_3,pm_true,55.090658366427675
amplifier,Peng_IAC_Pin_3,ph_xover,55.090658366427675
amplifier,Peng_IAC_Pin_3,power,3.48543e-05
amplifier,Peng_IAC_Pin_3,cmrrdc,-52.84394
amplifier,Peng_IAC_Pin_3,dcpsrp,-53.00545
amplifier,Peng_IAC_Pin_3,dcpsrn,-87.83313
amplifier,Peng_IAC_Pin_3,vos25,5.73911e-05
amplifier,Peng_IAC_Pin_3,tc,0.00329383
amplifier,Peng_IAC_Pin_3,sr_rise,0.0596235
amplifier,Peng_IAC_Pin_3,sr_fall,0.163658
amplifier,Qu2017_AZC_Pin_3,dcgain,126.0116
amplifier,Qu2017_AZC_Pin_3,gain_bandwidth_product,1490116.445596803
amplifier,Qu2017_AZC_Pin_3,phase_in_deg,103.544
amplifier,Qu2017_AZC_Pin_3,pm_true,103.5439769946003
amplifier,Qu2017_AZC_Pin_3,ph_xover,103.54397699460031
amplifier,Qu2017_AZC_Pin_3,power,2.8694e-05
amplifier,Qu2017_AZC_Pin_3,cmrrdc,-33.33338
amplifier,Qu2017_AZC_Pin_3,dcpsrp,-32.46461
amplifier,Qu2017_AZC_Pin_3,dcpsrn,-52.22585
amplifier,Qu2017_AZC_Pin_3,vos25,0.000857498
amplifier,Qu2017_AZC_Pin_3,tc,0.00626718
amplifier,Qu2017_AZC_Pin_3,sr_rise,0.100093
amplifier,Qu2017_AZC_Pin_3,sr_fall,0.463264
amplifier,Song_DACFC_Pin_3,dcgain,113.7462
amplifier,Song_DACFC_Pin_3,gain_bandwidth_product,743508.2632306205
amplifier,Song_DACFC_Pin_3,phase_in_deg,68.1507
amplifier,Song_DACFC_Pin_3,pm_true,68.15085326140273
amplifier,Song_DACFC_Pin_3,ph_xover,68.15085326140274
amplifier,Song_DACFC_Pin_3,power,2.05927e-05
amplifier,Song_DACFC_Pin_3,cmrrdc,-84.44345
amplifier,Song_DACFC_Pin_3,dcpsrp,-59.09137
