######## TSMC7 opamp authoritative-gate sweep ########
v6_4_7_ctlv2_s31_tsmc7                   gain=NA       gain_err=NA       PASS
v6_4_7_pivcor_w2_s7_tsmc7                gain=181.0    gain_err=10.78    FAIL
v6_4_7_pivcor_w1_s31_tsmc7               gain=188.0    gain_err=15.04    FAIL
v6_4_7_pivcor_w1_s7_tsmc7                gain=0.1      gain_err=99.93    FAIL
v6_4_7_ctlv2_s42_tsmc7                   gain=0.0      gain_err=99.99    FAIL
v6_4_7_pivcor_w2_s31_tsmc7               gain=0.0      gain_err=99.99    FAIL
v6_4_7_s12cor_w3_s17_tsmc7               gain=0.0      gain_err=99.99    FAIL
v6_4_7_s12cor_w3_s31_tsmc7               gain=0.0      gain_err=99.99    FAIL
v6_4_7_s12cor_w3_s42_tsmc7               gain=0.0      gain_err=99.99    FAIL
v6_4_7_s12cor_w3_s7_tsmc7                gain=356.2    gain_err=118.00   FAIL
v6_4_7_ctlv2_s17_tsmc7                   gain=363.7    gain_err=122.58   FAIL
v6_4_7_ctlv2_s7_tsmc7                    gain=362.7    gain_err=175.48   FAIL
