tech,window,time,device,dtype,vd,vg,vs,vb,vgs,vds,vbs,clamp_class,nn_id,nn_qg,nn_qd,nn_qs,nn_qb,nn_cgg,nn_cgd,nn_cgs,nn_cdg,nn_cdd,os_id,os_qg,os_qd,os_qs,os_qb,os_cgg,os_cgd,os_cgs,os_cdg,os_cdd
TSMC7,RISE,4.05e-10,Mnc,nmos,0.7494974112490058,0.0,0.0,0.0,0.0,0.7494974112490058,0.0,FREE,-3.4344234838834146e-08,-1.7303164287977175e-17,1.4063050662025066e-17,3.553907101741606e-18,-3.1379347578949758e-19,3.010446193624896e-17,-1.2239434463770343e-17,-8.426275194433155e-19,-1.0659112305442947e-17,1.2183263158556403e-17,-0.0,-1.8850021512602634e-17,1.4651789393778698e-17,4.408183158144748e-18,-2.0995103932081254e-19,3.029222772871265e-17,-1.1757169601720074e-17,-1.6512258125911525e-17,-1.176301152081118e-17,1.1757274505779043e-17
TSMC7,RISE,4.05e-10,Mnt,nmos,0.45,0.0,0.8707707443181,0.0,-0.8707707443181,-0.42077074431809997,-0.8707707443181,REV,0.0,-2.75941200304956e-18,4.1394626150109335e-21,4.104524022247992e-18,-1.3492514818134433e-18,5.589797982347378e-17,-3.63814132587819e-17,-4.585587008477152e-19,-2.824204492988757e-17,2.8304544862940244e-17,-0.0,-2.6795226487873766e-17,1.0952052681316972e-17,1.6053124939335547e-17,-2.0995113277875234e-19,2.6414913998126636e-17,-1.3032795125462332e-17,-1.1359318872663571e-17,-1.303279512546614e-17,1.3032795283600484e-17
TSMC7,RISE,4.05e-10,Mpc,pmos,0.7494974112490058,0.0,0.75,0.75,-0.75,-0.0005025887509941818,0.0,NEAR0,3.432603097662751e-08,-8.11298900660405e-17,3.963277513329045e-17,4.0034143761448356e-17,1.4629711713016896e-18,2.0286145716834157e-16,-7.944684140412514e-17,-5.6819901588363565e-18,-1.0033166721957814e-16,6.512812453447855e-17,2.404123566890348e-07,-8.187714931528912e-17,4.019508108819785e-17,4.022031716296695e-17,1.461751064124313e-18,2.027375935601533e-16,-1.0051424855603841e-16,-1.0059734500419773e-16,-1.0055325836025599e-16,7.536190934419425e-17
TSMC7,RISE,4.05e-10,Mpt,pmos,0.45,0.7494974112490058,0.8707707443181,0.75,-0.12127333306909416,-0.42077074431809997,-0.12077074431809998,FREE,0.0,1.2657592360408887e-17,-9.742669750274356e-18,-3.181339588009032e-18,2.664169778745015e-19,3.4268732657644996e-17,-1.3729390821121833e-17,8.29339342267415e-19,-1.4426990816861222e-17,1.3626323677674055e-17,4.455991131635528e-09,1.3117112121503669e-17,-9.930008152190911e-18,-3.430172270353973e-18,2.430683010412154e-19,3.3400354725165596e-17,-1.3600964367320215e-17,-1.817339049072845e-17,-1.3663485157538847e-17,1.3602269970808502e-17
TSMC7,RISE,4.1e-10,Mnc,nmos,0.7494971862130358,0.0,0.0,0.0,0.0,0.7494971862130358,0.0,FREE,-3.432998266634859e-08,-1.7303164287977175e-17,1.4063046933134427e-17,3.5539108306322455e-18,-3.1379347578949758e-19,3.010446869145373e-17,-1.223943647200802e-17,-8.426275194433155e-19,-1.0659131385701185e-17,1.2183265864537898e-17,-0.0,-1.8850018866816477e-17,1.4651786747968934e-17,4.4081831581683225e-18,-2.0995103932077895e-19,3.0292228517524405e-17,-1.175717039163057e-17,-1.6512258124812787e-17,-1.1763012310463042e-17,1.1757275295681105e-17
TSMC7,RISE,4.1e-10,Mnt,nmos,0.45,0.0,0.8707707443235911,0.0,-0.8707707443235911,-0.42077074432359113,-0.8707707443235911,REV,0.0,-2.75941200304956e-18,4.1394626150109335e-21,4.104524022247992e-18,-1.3492514818134433e-18,5.589797982347378e-17,-3.63814132587819e-17,-4.585587008477152e-19,-2.824204492988757e-17,2.8304544862940244e-17,-0.0,-2.6795226487936142e-17,1.0952052681316972e-17,1.6053124939397922e-17,-2.0995113277875234e-19,2.6414913998109777e-17,-1.3032795125462332e-17,-1.1359318872646714e-17,-1.303279512546614e-17,1.3032795283600484e-17
TSMC7,RISE,4.1e-10,Mpc,pmos,0.7494971862130358,0.0,0.75,0.75,-0.75,-0.0005028137869641514,0.0,NEAR0,3.434267201900258e-08,-8.112987351518739e-17,3.963275650966805e-17,4.003414583421765e-17,1.4629711713016896e-18,2.0286149576273623e-16,-7.944702206933086e-17,-5.681990058456532e-18,-1.0033166735339256e-16,6.512773749632513e-17,2.4052004832242346e-07,-8.187712669597017e-17,4.0195064129053446e-17,4.022031150279237e-17,1.4617510641243537e-18,2.027375873191763e-16,-1.0051422678705164e-16,-1.0059736053220763e-16,-1.0055325410205378e-16,7.536189730876569e-17
TSMC7,RISE,4.1e-10,Mpt,pmos,0.45,0.7494971862130358,0.8707707443235911,0.75,-0.12127355811055529,-0.42077074432359113,-0.12077074432359114,FREE,0.0,1.2657592360408887e-17,-9.742669750274356e-18,-3.181340768905245e-18,2.664181587707142e-19,3.4268738043512196e-17,-1.3729394396516925e-17,8.293392059385939e-19,-1.4426990816861222e-17,1.3626323677674055e-17,4.455991131635528e-09,1.3117104605121923e-17,-9.930005077414723e-18,-3.4301681946568856e-18,2.430686669496855e-19,3.3400361416003575e-17,-1.3600965783541456e-17,-1.8173395765346308e-17,-1.3663487094488545e-17,1.3602271397815617e-17
TSMC7,RISE,4.1499999999999996e-10,Mnc,nmos,0.7494972831364778,0.0,0.0,0.0,0.0,0.7494972831364778,0.0,FREE,-3.432998266635291e-08,-1.7303164287977175e-17,1.4063046933134427e-17,3.5539108306322455e-18,-3.1379347578949758e-19,3.010447094318865e-17,-1.2239433459651504e-17,-8.426275194433155e-19,-1.065912682532258e-17,1.2183264847730362e-17,-0.0,-1.8850020006361883e-17,1.465178788752451e-17,4.4081831581581674e-18,-2.0995103932079342e-19,3.029222817778158e-17,-1.1757170051414513e-17,-1.651225812528602e-17,-1.176301197035838e-17,1.1757274955468678e-17
TSMC7,RISE,4.1499999999999996e-10,Mnt,nmos,0.45,0.0,0.8707707442981713,0.0,-0.8707707442981713,-0.42077074429817124,-0.8707707442981713,REV,0.0,-2.75941200304956e-18,4.1394626150109335e-21,4.104524022247992e-18,-1.3492514818134433e-18,5.589797982347378e-17,-3.63814132587819e-17,-4.585587008477152e-19,-2.824204492988757e-17,2.8304544862940244e-17,-0.0,-2.6795226487647388e-17,1.0952052681316972e-17,1.605312493910917e-17,-2.0995113277875234e-19,2.6414913998187807e-17,-1.3032795125462332e-17,-1.1359318872724743e-17,-1.303279512546614e-17,1.3032795283600484e-17
